!SIL 1.0	SIL
<OOV> 1.0	SPN
MINGGU 1.0	M I NG G U
MINUM 1.0	M I N U M
MOMEN 1.0	M O M E N
MORIL 1.0	M O R I L
MOTORAN 1.0	M O T O R A N
MRT 1.0	EE M A R T I
MRT 1.0	EE M EE R T EE
MUDAH 1.0	M U D A H
MUKA 1.0	M U K A
MUKADIMAH 1.0	M U K A D I M A H
MULA 1.0	M U L A
MULU 1.0	M U L U
MUMET 1.0	M U M E T
MUMPUNG 1.0	M U M P U NG
MUSEUM 1.0	M U S EE U M
MUSEUM 1.0	M U S I U M
MUSIM 1.0	M U S I M
MUSIN 1.0	M U S I N
MUTLAK 1.0	M U T L A K
MY 1.0	M AI
NABUNG 1.0	N A B U NG
NAIK 1.0	N A I K
NAMA 1.0	N A M A
NAMUN 1.0	N A M U N
NANTI 1.0	N A N T I
NASIONAL 1.0	N A S I O N A L
NATURE 1.0	N EE C E R
NEGARA 1.0	N E G A R A
NEGERI 1.0	N E G E R I
NEGERI 1.0	N E G R I
NEGERINYA 1.0	N E G E R I NY A
NEGERINYA 1.0	N E G R I NY A
NGADAIN 1.0	NG A D A I N
NGAPAIN 1.0	NG A P A I N
NGELARIN 1.0	NG E L A R I N
NGGA 1.0	NG G A
NGGELINDING 1.0	NG G E L I N D I NG
NGILANGIN 1.0	NG I L A NG I N
NGOMONG 1.0	NG O M O NG
NIGHTLIFE 1.0	N AI G L A I F
NIH 1.0	N I H
NILAI 1.0	N I L A I
NONTON 1.0	N O N T O N
NURANI 1.0	N U R A N I
NUSA 1.0	N U S A
NYA 1.0	NY A
NYANYI 1.0	NY A NY I
NYARI 1.0	NY A R I
NYELAM 1.0	NY E L A M
NYIAPIN 1.0	NY I A P I N
NYIMENG 1.0	NY I M EE NG
OBAT 1.0	O B A T
OBJEK 1.0	O B J EE K
OF 1.0	O F
OLEH 1.0	O L EE H
OMBAK 1.0	O M B A K
ONLINE 1.0	O N L A I N
OPEN 1.0	O P E N
OPNAME 1.0	O P N A M EE
OPSI 1.0	O P S I
ORANG 1.0	O R A NG
ORGANISASI 1.0	O R G A N I S A S I
OUT 1.0	A U T
OVERTIME 1.0	O V E R T AI M
PADA 1.0	P A D A
PADANG 1.0	P A D A NG
PAGI 1.0	P A G I
PAKAIAN 1.0	P A K AI A N
PAKE 1.0	P A K EE
PALEMBANG 1.0	P A L EE M B A NG
PALING 1.0	P A L I NG
PANGAN 1.0	P A NG A N
PANJANG 1.0	P A N J A NG
PANTAI 1.0	P A N T AI
PANTAINYA 1.0	P A N T AI NY A
PANTAS 1.0	P A N T A S
PARA 1.0	P A R A
PARK 1.0	P A R K
PAS 1.0	P A S
PASAL 1.0	P A S A L
PASAR 1.0	P A S A R
PASIR 1.0	P A S I R
PASPOR 1.0	P A S P O R
PASTI 1.0	P A S T I
PASTIKAN 1.0	P A S T I K A N
PEGUNUNGAN 1.0	P E G U N U NG A N
PEKERJA 1.0	P E K E R J A
PEKERJAAN 1.0	P E K E R J A A N
PELAKSANAAN 1.0	P E L A K S A N A A N
PELANGGARAN 1.0	P E L A NG G A R A N
PELAYANAN 1.0	P E L A Y A N A N
PEMANDANGAN 1.0	P E M A N D A NG A N
PEMBANGUNAN 1.0	P E M B A NG U N A N
PEMBATASAN 1.0	P E M B A T A S A N
PEMBELAANNYA 1.0	P E M B EE L A A N NY A
PEMBERONTAKAN 1.0	P E M B E R O N T A K A N
PEMERINTAH 1.0	P E M E R I N T A H
PEMERINTAHAN 1.0	P E M E R I N T A H A N
PEMILIHAN 1.0	P E M I L I H A N
PEMPEK 1.0	P EE M P EE K
PEMUNGUTAN 1.0	P E M U NG U T A N
PENAT 1.0	P E N A T
PENCARIAN 1.0	P E N C A R I A N
PENDAPAT 1.0	P E N D A P A T
PENDIDIKAN 1.0	P E N D I D I K A N
PENGADILAN 1.0	P E NG A D I L A N
PENGAJARAN 1.0	P E NG A J A R A N
PENGAKUAN 1.0	P E NG A K U A N
PENGALAMAN 1.0	P E NG A L A M A N
PENGANGGURAN 1.0	P E NG A NG G U R A N
PENGEJARAN 1.0	P E NG E J A R A N
PENGEN 1.0	P EE NG EE N
PENGERTIAN 1.0	P E NG E R T I A N
PENGETAHUAN 1.0	P E NG E T A H U A N
PENGHARGAAN 1.0	P E NG H A R G A A N
PENGHIDUPAN 1.0	P E NG H I D U P A N
PENGHORMATAN 1.0	P E NG H O R M A T A N
PENGHORMATANNYA 1.0	P E NG H O R M A T A N NY A
PENGUPAHAN 1.0	P E NG U P A H A N
PENINDASAN 1.0	P E N I N D A S A N
PENTING 1.0	P E N T I NG
PENUH 1.0	P E N U H
PENYUKA 1.0	P E NY U K A
PERAHU 1.0	P E R A H U
PERANCIS 1.0	P E R A N C I S
PERASAAN 1.0	P E R A S A A N
PERATURAN 1.0	P E R A T U R A N
PERAWATAN 1.0	P E R A W A T A N
PERBEDAAN 1.0	P E R B EE D A A N
PERBUATAN 1.0	P E R B U A T A N
PERBUDAKAN 1.0	P E R B U D A K A N
PERBUKITAN 1.0	P E R B U K I T A N
PERBURUHAN 1.0	P E R B U R U H A N
PERCERAIAN 1.0	P E R C E R AI A N
PERDAGANGAN 1.0	P E R D A G A NG A N
PERDAMAIAN 1.0	P E R D A M AI A N
PERGI 1.0	P E R G I
PERJALANAN 1.0	P E R J A L A N A N
PERJUANGAN 1.0	P E R J U A NG A N
PERKAWINAN 1.0	P E R K A W I N A N
PERKECUALIAN 1.0	P E R K E C U A L I A N
PERKEMBANGAN 1.0	P E R K E M B A NG A N
PERKUMPULAN 1.0	P E R K U M P U L A N
PERLAKUAN 1.0	P E R L A K U A N
PERLENGKAPAN 1.0	P E R L E NG K A P A N
PERLINDUNGAN 1.0	P E R L I N D U NG A N
PERLU 1.0	P E R L U
PERMAINANNYA 1.0	P E R M A I N A N NY A
PERNAH 1.0	P E R N A H
PERNYATAAN 1.0	P E R NY A T A A N
PERSAHABATAN 1.0	P E R S A H A B A T A N
PERSAMAAN 1.0	P E R S A M A A N
PERSAUDARAAN 1.0	P E R S A U D A R A A N
PERSERIKATAN 1.0	P E R S E R I K A T A N
PERSETUJUAN 1.0	P E R S E T U J U A N
PERTUMBUHAN 1.0	P E R T U M B U H A N
PERUMAHAN 1.0	P E R U M A H A N
PERWALIAN 1.0	P E R W A L I A N
PESAWAT 1.0	P E S A W A T
PESONA 1.0	P E S O N A
PIAGAM 1.0	P I A G A M
PIDANA 1.0	P I D A N A
PIKIRAN 1.0	P I K I R A N
PILIH 1.0	P I L I H
PILIHAN 1.0	P I L I H A N
PINGGIR 1.0	P I NG G I R
PINGIN 1.0	P I NG I N
PINTER 1.0	P I N T E R
PISAN 1.0	P I S A N
PLAN 1.0	P L EE N
POHON 1.0	P O H O N
POLITIK 1.0	P O L I T I I K
POLUSI 1.0	P O L U S I
POOL 1.0	P U L
PREFERENCE 1.0	P R I F EE R EE N S
PREPARE 1.0	P R I P EE R
PRIA 1.0	P R I A
PRIBADI 1.0	P R I B A D I
PRIBADINYA 1.0	P R I B A D I NY A
PRINDAVAN 1.0	P R I N D A V A N
PRODUKSI 1.0	P R O D U K S I
PROGRESIF 1.0	P R O G R EE S I F
PROJECTNYA 1.0	P R O J EE K NY A
PUAS 1.0	P U A S
PULANG 1.0	P U L A NG
PULAU 1.0	P U L A U
PULUH 1.0	P U L U H
PUN 1.0	P U N
PUNCAK 1.0	P U N C A K
PUNYA 1.0	P U NY A
PUSING 1.0	P U S I NG
RAHASIA 1.0	R A H A S I A
RAILWAY 1.0	R EE I L W E Y
RAJA 1.0	R A J A
RAKYAT 1.0	R A K Y A T
RANCA 1.0	R A N C A
RAPI 1.0	R A P I
RAS 1.0	R A S
RASA 1.0	R A S A
RASANYA 1.0	R A S A NY A
RATUS 1.0	R A T U S
RAWON 1.0	R A W O N
RECOGNITION 1.0	R E K O K N I SY E N
REFRESHING 1.0	R I F R EE SY I NG
REGISTRASI 1.0	R E G I S T R A S I
REKOMENDASI 1.0	R E K O M EE N D A S I
RELAX 1.0	R I L EE K S
RELAXING 1.0	R I L EE K S I NG
RENCANA 1.0	R E N C A N A
RENCANANYA 1.0	R E N C A N A NY A
RENDAH 1.0	R E N D A H
RESERVASI 1.0	R EE S E R V A S I
RESTORAN 1.0	R EE S T O R A N
RIBU 1.0	R I B U
RINJANI 1.0	R I N J A N I
RIWEUH 1.0	R I W E U H
RUMAH 1.0	R U M A H
RUMPUT 1.0	R U M P U T
SAAT 1.0	S A A T
SAATNYA 1.0	S A A T NY A
SABAR 1.0	S A B A R
SAFE 1.0	S EE F
SAJA 1.0	S A J A
SAKIT 1.0	S A K I T
SALAH 1.0	S A L A H
SALAK 1.0	S A L A K
SALING 1.0	S A L I NG
SALJU 1.0	S A L J U
SAMA 1.0	S A M A
SAMBIL 1.0	S A M B I L
SAMPAH 1.0	S A M P A H
SAMPAHNYA 1.0	S A M P A H NY A
SAMPAI 1.0	S A M P AI
SAMPE 1.0	S A M P EE
SAMPING 1.0	S A M P I NG
SANA 1.0	S A N A
SANGAT 1.0	S A NG A T
SATU 1.0	S A T U
SATUNYA 1.0	S A T U NY A
SAYA 1.0	S A Y A
SEAFOOD 1.0	S I F U D
SEBAGAI 1.0	S E B A G AI
SEBAGIAN 1.0	S E B A G I A N
SEBAIKNYA 1.0	S E B A I K NY A
SEBELAS 1.0	S E B E L A S
SEBELUM 1.0	S E B E L U M
SEBELUMNYA 1.0	S E B E L U M NY A
SEBENERNYA 1.0	S E B E N A R NY A
SEBENTAR 1.0	S E B E N T A R
SEBESAR 1.0	S E B E S A R
SEBULAN 1.0	S E B U L A N
SECARA 1.0	S E C A R A
SECOND 1.0	S EE K E N
SEDIA 1.0	S E D I A
SEGALA 1.0	S E G A L A
SEGAR 1.0	S E G A R
SEGER 1.0	S E G E R
SEHARIAN 1.0	S E H A R I A N
SEHARUSNYA 1.0	S E H A R U S NY A
SEIMBANG 1.0	S E I M B A NG
SEJARAH 1.0	S E J A R A H
SEJENAK 1.0	S E J E N A K
SEJUK 1.0	S E J U K
SEKALI 1.0	S E K A L I
SEKALIAN 1.0	S E K A L I A N
SEKALIGUS 1.0	S E K A L I G U S
SEKARANG 1.0	S E K A R A NG
SEKEDAR 1.0	S E K E D A R
SEKITARAN 1.0	S E K I T A R A N
SEKOLAH 1.0	S E K O L A H
SELALU 1.0	S E L A L U
SELAMA 1.0	S E L A M A
SELESAI 1.0	S E L E S A I
SELUAS 1.0	S E L U A S
SEMACAM 1.0	S E M A C A M
SEMAKIN 1.0	S E M A K I N
SEMANGAT 1.0	S E M A NG A T
SEMATA 1.0	S E M A T A
SEMBARANGAN 1.0	S E M B A R A NG A N
SEMBILAN 1.0	S E M B I L A N
SEMENA 1.0	S E M E N A
SEMERU 1.0	S E M E R U
SEMESTER 1.0	S E M E S T E R
SEMOGA 1.0	S E M O G A
SEMPAT 1.0	S E M P A T
SEMUA 1.0	S E M U A
SENANTIASA 1.0	S E N A N T I A S A
SENDIRI 1.0	S E N D I R I
SENDIRIAN 1.0	S E N D I R I A N
SEORANG 1.0	S E O R A NG
SEPANJANG 1.0	S E P A N J A NG
SEPENUHNYA 1.0	S E P E N U H NY A
SEPERTI 1.0	S E P E R T I
SEPERTINYA 1.0	S E P E R T I NY A
SEPI 1.0	S E P I
SEPULUH 1.0	S E P U L U H
SERIKAT 1.0	S E R I K A T
SERTA 1.0	S E R T A
SERU 1.0	S E R U
SESEORANG 1.0	S E S E O R A NG
SESUAI 1.0	S E S U A I
SESUATU 1.0	S E S U A T U
SETAHUN 1.0	S E T A H U N
SETAN 1.0	S E T A N
SETELAH 1.0	S E T E L A H
SETENGAH 1.0	S E T E NG A H
SETIAP 1.0	S E T I A P
SETIDAK 1.0	S E T I D A K
SEWENANG 1.0	S E W E N A NG
SIANG 1.0	S I A NG
SIAPA 1.0	S I A P A
SIBERIAN 1.0	S I B EE R I A N
SIBUK 1.0	S I B U K
SIBUKNYA 1.0	S I B U K NY A
SIDANG 1.0	S I D A NG
SIH 1.0	S I H
SINGAPUR 1.0	S I NG A P U R
SINGAPURA 1.0	S I NG A P U R A
SLEEPING 1.0	S L I P I NG
SNORKELING 1.0	S E N O R K L I NG
SO 1.0	S O
SOAL 1.0	S O A L
SOALNYA 1.0	S O A L NY A
SOCIALLY 1.0	S O S I E L I
SOLD 1.0	S O L D
SOMETIMES 1.0	S A M T AI M S
SORE 1.0	S O R E
SOSIAL 1.0	S O S I A L
SPOT 1.0	S P O T
STANDAR 1.0	S T A N D A R
STAYCATION 1.0	S T EE Y K E S I E N
STREET 1.0	S T R I T
STRES 1.0	S T R EE S
STRESS 1.0	S T R EE S
STUDIO 1.0	S T U D I O
SUAKA 1.0	S U A K A
SUARA 1.0	S U A R A
SUATU 1.0	S U A T U
SUDAH 1.0	S U D A
SUKA 1.0	S U K A
SUMBER 1.0	S U M B E R
SUNDA 1.0	S U N D A
SUNGGUH 1.0	S U NG G U H
SUNRISE 1.0	S A N R AI S
SUNSET 1.0	S A N S E T
SUNYI 1.0	S U NY I
SUPAYA 1.0	S U P A Y A
SUPER 1.0	S U P E R
SURABAYA 1.0	S U R A B A Y A
SURAT 1.0	S U R A T
SURFING 1.0	S E R F I NG
SURGANYA 1.0	S U R G A NY A
SUSUN 1.0	S U S U N
SWIFT 1.0	S W I F
SYARAT 1.0	SY A R A T
TAHUN 1.0	T A H U N
TAHUNNYA 1.0	T A H U N NY A
TAHURA 1.0	T A H U R A
TAK 1.0	T A K
TAKUT 1.0	T A K U T
TANGGANYA 1.0	T A NG G A NY A
TANGKUBAN 1.0	T A NG K U B A N
TANPA 1.0	T A N P A
TANTANGAN 1.0	T A N T A NG A N
TAPI 1.0	T A P I
TARAF 1.0	T A R A F
TATANAN 1.0	T A T A N A N
TAYLOR 1.0	T EE I L O R
TEH 1.0	T EE H
TEKNIK 1.0	T EE K N I K
TELAH 1.0	T E L A H
TEMAN 1.0	T E M A N
TEMANKU 1.0	T E M A N K U
TEMEN 1.0	T E M E N
TEMPAT 1.0	T E M P A T
TEMPLES 1.0	T EE M P E L S
TENGAH 1.0	T E NG A H
TENTANG 1.0	T E N T A NG
TEPI 1.0	T E P I
TERAKHIR 1.0	T E R A KH I R
TERASA 1.0	T E R A S A
TERBAIK 1.0	T E R B A I K
TERBENTUKNYA 1.0	T E R B E N T U K NY A
TERBUKA 1.0	T E R B U K A
TERCANTUM 1.0	T E R C A N T U M
TERHADAP 1.0	T E R H A D A P
TERJUN 1.0	T E R J U N
TERKENAL 1.0	T E R K E N A L
TERLEWAT 1.0	T E R L EE W A T
TERLIBAT 1.0	T E R L I B A T
TERMAKTUB 1.0	T E R M A K T U B
TERMASUK 1.0	T E R M A S U K
TERNYATA 1.0	T E R NY A T A
TERPAKSA 1.0	T E R P A K S A
TERSEBUT 1.0	T E R S E B U T
TERSERAH 1.0	T E R S E R A H
TERTINGGI 1.0	T E R T I NG G I
TERUMBU 1.0	T E R U M B U
TERUS 1.0	T E R U S
TESIS 1.0	T EE S I S
TETEP 1.0	T E T E P
THE 1.0	D E
TIBA 1.0	T I B A
TIBALAH 1.0	T I B A L A H
TIDAK 1.0	T I D A K
TIDAKNYA 1.0	T I D A K NY A
TIDUR 1.0	T I D U R
TIGA 1.0	T I G A
TIKET 1.0	T I K EE T
TIKETNYA 1.0	T I K EE T NY A
TIMBUL 1.0	T I M B U L
TINDAKAN 1.0	T I N D A K A N
TINGGAL 1.0	T I NG G A L
TINGGI 1.0	T I NG G I
TINGKAT 1.0	T I NG K A T
TIPE 1.0	T I P E
TO 1.0	T U
TOBA 1.0	T O B A
TOLERANSI 1.0	T O L EE R A N S I
TOUR 1.0	T U R
TOURGUIDE 1.0	T U R G AI D
TRACK 1.0	T R EE K
TRACKING 1.0	T R EE K I NG
TRADISIONAL 1.0	T R A D I S I O N A L
TRAFFIC 1.0	T R EE F I K
TRAIN 1.0	T R EE I N
TRANS 1.0	T R A N S
TRAVELING 1.0	T R EE V E L I NG
TRAVELOKA 1.0	T R A V EE L O K A
TRAWANGAN 1.0	T R A W A NG A N
TREKKING 1.0	T R EE K K I NG
TRIP 1.0	T R I P
TRY 1.0	T R AI
TU 1.0	T U
TUA 1.0	T U A
TUBUH 1.0	T U B U H
TUGAS 1.0	T U G A S
TUH 1.0	T U H
TUJUAN 1.0	T U J U A N
TUJUH 1.0	T U J U H
TUNDUK 1.0	T U N D U K
TUNTUTAN 1.0	T U N T U T A N
TURIS 1.0	T U R I S
TURUN 1.0	T U R U N
TURUT 1.0	T U R U T
UANG 1.0	U A NG
UBUD 1.0	U B U D
UDAH 1.0	U D A H
UDARA 1.0	U D A R A
UDARANYA 1.0	U D A R A NY A
UJIAN 1.0	U J I A N
UJUNG 1.0	U J U NG
UMAT 1.0	U M A T
UMUM 1.0	U M U M
UNDANG 1.0	U N D A NG
UNGGUN 1.0	U NG G U N
UNIVERSAL 1.0	Y U N I V E R S A L
UNPAID 1.0	A N P EE I D
UNTUK 1.0	U N T U K
UPAH 1.0	U P A H
UPAS 1.0	U P A S
URUSAN 1.0	U R U S A N
USAHA 1.0	U S A H A
USIA 1.0	U S I A
UTAMA 1.0	U T A M A
VACATION 1.0	V EE K E Y SY E N
VARIASI 1.0	V A R I A S I
VIEW 1.0	V I W
VILLA 1.0	V I L A
VISA 1.0	V I S A
VOLCANIC 1.0	V O L K A N I K
WABAH 1.0	W A B A H
WAHANA 1.0	W A H A N A
WAJIB 1.0	W A J I B
WAKIL 1.0	W A K I L
WAKTU 1.0	W A K T U
WALAUPUN 1.0	W A L A U P U N
WANITA 1.0	W A N I T A
WARGA 1.0	W A R G A
WARNA 1.0	W A R N A
WAS 1.0	W A S
WEEKEND 1.0	W I K EE N D
WENANG 1.0	W E N A NG
WHICH 1.0	W I C
WHOOSH 1.0	W U SY
WILAYAH 1.0	W I L A Y A H
WILL 1.0	W I L
WINTER 1.0	W I N T E R
WISATA 1.0	W I S A T A
WORK 1.0	W E R K
WORLD 1.0	W E R L D
YA 1.0	Y A
YANG 1.0	Y A NG
YOASOBI 1.0	Y O A S O B I
YOGYAKARTA 1.0	Y O G Y A K A R T A
YOGYAKARTA 1.0	J O G J A K A R T A
YUK 1.0	Y U K
ZOO 1.0	Z U
